DOMAIN (L0),SUB DOMAIN (L1),CATEGORY (L2),SUBCATEGORY (L3),PRODUCT TYPE (L4),Suggestive Enums,2,3,4,5,6,7,8,9,10,11,12,13,14,15
Retail,Beauty & Personal Care,Bath & Body,Bath Additives,Bath Bombs,Bath Bomb for Babies,Bath Bomb for Kids,Bath Bomb Making Kits,Organic Bath Bomb,Natural Batch Bomb,Assorted Bath Bomb,,,,,,,,,
Retail,Beauty & Personal Care,Bath & Body,Bath Additives,Bath Pearls & Flakes,Organic Bath Pearls,Ageless Bath Pearls,Magnesium Bath Flakes,Dead Sea Salt Bath Flakes,Mineral Bath Flakes,,,,,,,,,,
Retail,Beauty & Personal Care,Bath & Body,Bath Additives,Bubble Bath,Kids Bubble Bath,Baby Bubble Bath,Adult Bubble Bath,Soft Bubble Bath,Aromatic Bubble Bath,Herbal Bubble Bath,Gentle Bubble Bath,,,,,,,,
Retail,Beauty & Personal Care,Bath & Body,Bath Additives,Bath Salts,Himalayan Pink Bath Salt,Lavendar Bath Salt,Bath Salt with Epsom Salt,Mineral Rich Bath Salt,,,,,,,,,,,
Retail,Beauty & Personal Care,Bath & Body,Bath Additives,Bath Oils,Lavendar & Neroli Bath Oil,Olive & Almond Bath Oil,Jasmine & Mogra Bath Oil,After Bath Oil,Vanilla Vibes Oil,Organic After Bath Oil,,,,,,,,,
Retail,Beauty & Personal Care,Bath & Body,Bath Additives,Tub Tea,Herbal Bathtub Tea,Assorted Bathtub Tea,Organic Bathtub Tea,Natural Bathtub Tea,Herbal Bathtub Tea,,,,,,,,,,
Retail,Beauty & Personal Care,Bath & Body,Cleansers,Shower Gels & Body Wash,Refreshing Shower Gel,Gentle Shower Gel,Body Wash with Oil Clear Formula,Shower Gel for Men,Blackcurrant & Blackberry Body Wash,Lemongrass & Jojoba Body Wash,Body Wash with Skin Conditioner,Creme Soft Shower Gel,Vegan Shower Gel,Active Body Wash,Active Charcoal Body Wash,Paraben Free Body Wash,Vegan Body Wash,,
Retail,Beauty & Personal Care,Bath & Body,Cleansers,Body Wash Oils,Kumkumadi Oil,Almond Shower Oil,Body Oil,Babbasu Oil,,,,,,,,,,,
Retail,Beauty & Personal Care,Bath & Body,Cleansers,Hand Wash,Skin Care Hand Wash,Germ Fighter Hand Wash,Germ Protection Hand Wash,Deep Cleansing Hand Wash,Moisturising Hand Wash,Protective Hand Wash,Hand Wash Refill,Hand Wash Dispenser,Gentle Hand Wash,Tulsi Hand Wash,,,,,
Retail,Beauty & Personal Care,Bath & Body,Cleansers,Sanitizers,Sanitizer Liquid Spray,Sanitizer Spray,Alcohol Based Sanitizer,Sanitizer Refill,Sanitizer Liquid,Sanitizer Gel,Hand Rub Sanitizer,Antibacterial Santizer,,,,,,,
Retail,Beauty & Personal Care,Bath & Body,Cleansers,Soaps,Ayurvedic Soap,Men's Soap,Beauty Soap,Moisturizing Soap,Germ Protection Soap,Glycerin Bath Soap,Neem Soap,Natural Bath Soap,Bath Soap Bar,,,,,,
Retail,Beauty & Personal Care,Bath & Body,Bath Sets & Kits,Bath Sets & Kits,Batutub Kit,Gift Bath Set,Bathing Accessories Set,Gift Basket Bath & Body,Bath & Body Care Set,Skincare Gift Set,Bath Combo Kit,,,,,,,,
Retail,Beauty & Personal Care,Bath & Body,Body Scrubs & Exfoliants,Body Scrubs & Exfoliants,Almonds Body Scrub,Tan Removal Body Scrub,AHA BHA Body Exfoliator,Deep Nourishing Body Exfoliating,Exfoliating Body Polish,Scurb for Oily Skin,Scrub for Dry Skin,Glycolic Acid & Trenexmic Acid Exfoliator,,,,,,,
Retail,Beauty & Personal Care,Bath & Body,Lotions & Creams,Body Lotions,Intensive Care Body Lotions,Nourishing Body Lotions,24hr Nourishing Body Lotions,Intensive Body Lotion,Deep Nourish Body Lotions,Winter Body Lotion,Vit C & Shea Butter Body Lotions,Dry Skin Body Lotions,Very Dry Skin Body Lotions,Soft Touch Body Lotions,Moisturizing Body Lotion,Skin Brightening Body Lotion,Repair Body Lotion,Body Lotion for Sensitive Skin,All Skin Types Body Lotion
Retail,Beauty & Personal Care,Bath & Body,Lotions & Creams,Body Creams,Anti Cellulite Body Cream,Body Cream for All Skin Types,Very Dry Skin Body Cream,Dry Skin Body Cream,Nourishim Skin Cream,Skin Cream,,,,,,,,,
Retail,Beauty & Personal Care,Bath & Body,Lotions & Creams,Body Moisturizers,Hydrating Moisturizer,Sensitive Skin Moisturizer,Dry Skin Moisturizer,Intensive Care Moisturizer,,,,,,,,,,,
Retail,Beauty & Personal Care,Bath & Body,Lotions & Creams,Body Oils,Nourishing Body Oil,Vanilla Vibes Body Oil,Deep Moisturizing Body Oil,Instant Glow Body Oil,Nourishing Body Oil,Body Oil with Vitamin E,Aromatherapy Body Oil,Anti Ageing Body Oil,Face & Body Oil,Body Oil for All Skin Types,,,,,
Retail,Beauty & Personal Care,Bath & Body,Lotions & Creams,Body Butters,Cocoa & Shea Body Butter,Coffee & Almonds Body Butter,Relaxing Macademia Body Butter,Deep Nourishing Body Butter,Softening Body Butter,Natural Body Butter,Long Lasting Moisture Body Butter,,,,,,,,
Retail,Beauty & Personal Care,Bath & Body,Lotions & Creams,Mousses,Natural Mousse,9 to 5 Weightless Mousse,Mousse Foundation,Beuty Primer Mousse,Makeup Mousse,,,,,,,,,,
Retail,Beauty & Personal Care,Feminine Care,Feminine Hygiene,Sanitary Napkins,Sanitary Pads,Ultra Soft Sanitary Pads,Cottony Soft Cover Napkins,Extra Large Napkins,Ultra Thin Sanitary Pads,Overnight Sanitary Napkins,Heavy Flow Sanitary Pads,Anti Bacterial Sanitary Pads,Maternity Pads,,,,,,
Retail,Beauty & Personal Care,Feminine Care,Feminine Hygiene,Menstrual Cups,Reusable Menstrual Cup,Medical Grade Menstrual Cup,,,,,,,,,,,,,
Retail,Beauty & Personal Care,Feminine Care,Feminine Hygiene,Pantyliners,Sanitary Napkins Pantyliners,,,,,,,,,,,,,,
Retail,Beauty & Personal Care,Feminine Care,Feminine Hygiene,Tampons,Cotton Tampon,Organic Tampon,Heavy Flow Tampon,High Absorbent Tampon,,,,,,,,,,,
Retail,Beauty & Personal Care,Feminine Care,Feminine Hygiene,Douche & Enema Products,Enema Kit,Home Use Enema Kit,Douche Bag,Enema Syringe,,,,,,,,,,,
Retail,Beauty & Personal Care,Feminine Care,Intimate Wash & Care,Feminine Washes,Intimate Wash,Hygiene Wash,Intimate Foam Wash,,,,,,,,,,,,
Retail,Beauty & Personal Care,Feminine Care,Intimate Wash & Care,Feminine Wipes,Intimate Wipes,Hygiene Wipes,Skin Friendly Intimate Wipes,Dermatologically Tested Intimate Wipes,Vaginal Wet Wipes,Anti Bacterial Intimate Wipes,,,,,,,,,
Retail,Beauty & Personal Care,Feminine Care,Intimate Wash & Care,"Shaving Cream, Foams & Gels",Pre Shave Foam,Shaving Foam,Shaving Foam with Menthol,Anti Bacterial Shaving Foam,Soothing Shaving Gel,Shaving Gel with Aloe Vera,Refreshing Shaving Gel,Anti Bacterial Shaving Cream,Pro Shaving Gel Aqua Hydrating,Ultra Sensitive Shaving Foam,,,,,
Retail,Beauty & Personal Care,Feminine Care,Intimate Wash & Care,Blades & Razors,Hair Removal Razor,Cofortglide Hair Removal Razor,Hair Removal Razor for Women,,,,,,,,,,,,
Retail,Beauty & Personal Care,Fragrance,Deodorants & Antiperspirants,Antiperspirant Deodorant,Antiperspirant Deodorant for Men,Antiperspirant Deodorant for Women,Antiperspirant Deodorant Roll On,Antiperspirant Deodorant Stick,,,,,,,,,,,
Retail,Beauty & Personal Care,Fragrance,Deodorants & Antiperspirants,Antiperspirants,Antiperspirants Roll On,Antiperspirants Stick,Antiperspirants Spray,Dry Antiperspirants Roll On,24-hr Protection Antiperspirants Roll On,48-hr Protection Antiperspirants Roll On,Antiperspirants Anti Sweat Deodorant,All Day Protection Antiperspirants Roll On,,,,,,,
Retail,Beauty & Personal Care,Fragrance,Deodorants & Antiperspirants,Deodorant Sprays,Perfume Body Spray,Long Lasting Body Spray,Deodorant Spray for Men,Deodorant Spray for Women,Deep Impact Freshness Deodorant Spray,No Gas Deodorant Spray,Deodorant Set,,,,,,,,
Retail,Beauty & Personal Care,Fragrance,Deodorants & Antiperspirants,Deodorant Sticks,Long Lasting Deodorant Stick,Antiperspirant Deodorant Stick,Deodorant Stick for Men,Deodorant Stick for Women,Deep Impact Freshness Deodorant Stick,,,,,,,,,,
Retail,Beauty & Personal Care,Fragrance,Deodorants & Antiperspirants,Deodorant Roll Ons,Long Lasting Deodorant Roll On,Antiperspirant Deodorant Roll On,Deodorant Roll On for Men,Deodorant Roll On for Women,Freshness Deodorant Roll On,,,,,,,,,,
Retail,Beauty & Personal Care,Fragrance,Perfumes,Eau de Toilette,Perfume for Men,Perfume for Women,Perfume for Party,Perfume for Evening,Perfume for Work,Long Lasting Fragrance,Body Scent,,,,,,,,
Retail,Beauty & Personal Care,Fragrance,Perfumes,Eau de Parfum,Perfume for Men,Perfume for Women,Perfume for Party,Perfume for Evening,Perfume for Work,Long Lasting Fragrance,Body Scent,,,,,,,,
Retail,Beauty & Personal Care,Fragrance,Perfumes,Eau de Cologne,Perfume for Men,Perfume for Women,Perfume for Party,Perfume for Evening,Perfume for Work,Long Lasting Fragrance,Body Scent,,,,,,,,
Retail,Beauty & Personal Care,Fragrance,Perfumes,Perfume,Perfume for Men,Perfume for Women,Perfume for Party,Perfume for Evening,Perfume for Work,Long Lasting Fragrance,Body Scent,,,,,,,,
Retail,Beauty & Personal Care,Fragrance,Perfumes,Attar,Perfume for Men,Perfume for Women,Perfume for Party,Perfume for Evening,Perfume for Work,Long Lasting Fragrance,Body Scent,,,,,,,,
Retail,Beauty & Personal Care,Fragrance,Perfumes,Body Sprays & Mists,Perfume for Men,Perfume for Women,Perfume for Party,Perfume for Evening,Perfume for Work,Long Lasting Fragrance,Body Scent,,,,,,,,
Retail,Beauty & Personal Care,Fragrance,Fragrance,Gift Sets,Perfume Set for Men,Perfume Set for Women,Perfume Set for Party,Perfume Set for Evening,Perfume Set for Work,,,,,,,,,,
