Category,Brand,Colour,Colour Name,Material,Size,Weight,Length,Breadth,Height,Model,Assembly Required,Care Instructions,Special Features
Home Decor,M,M,O,M,O,O,O,O,O,O,O,O,O
Furniture,M,M,O,M,O,O,O,O,O,O,O,O,O
Home Furnishing - Bedding and Linen,M,M,O,M,O,O,O,O,O,O,O,O,O
Cleaning Supplies,M,M,O,M,O,O,O,O,O,O,O,O,O
Electricals,M,M,O,M,O,O,O,O,O,O,O,O,O
Bathroom and Kitchen fixtures,M,M,O,M,O,O,O,O,O,O,O,O,O
Garden & Outdoor,M,M,O,M,O,O,O,O,O,O,O,O,O
Sports and Fitness Equipment,M,M,O,M,O,O,O,O,O,O,O,O,O
Cookware,M,M,O,M,O,O,O,O,O,O,O,O,O
Serveware,M,M,O,M,O,O,O,O,O,O,O,O,O
Kitchen Storage and Containers,M,M,O,M,O,O,O,O,O,O,O,O,O
Kitchen Tools,M,M,O,M,O,O,O,O,O,O,O,O,O
Closet/Laundry/Shoe Organization,M,M,O,M,O,O,O,O,O,O,O,O,O
Toys and Games,M,M,O,M,O,O,O,O,O,O,O,O,O
Stationery,M,M,O,M,O,O,O,O,O,O,O,O,O
Home Furnishings,M,M,O,M,O,O,O,O,O,O,O,O,O
Garden and Outdoor Products,M,M,O,M,O,O,O,O,O,O,O,O,O
Home Improvement,M,M,O,M,O,O,O,O,O,O,O,O,O
Cookware and Dining,M,M,O,M,O,O,O,O,O,O,O,O,O
Storage and Organisation,M,M,O,M,O,O,O,O,O,O,O,O,O
