DOMAIN (L0),SUB DOMAIN (L1),CATEGORY (L2),SUBCATEGORY (L3),PRODUCT TYPE (L4),Suggestive Enums,2,3,4,5,6,7,8,9,10,11,12,13,14,15
Retail,Fashion,Kid's Apparel,Boy's Clothing,T-Shirts,,,,,,,,,,,,,,,
Retail,Fashion,Kid's Apparel,Boy's Clothing,Shirts,,,,,,,,,,,,,,,
Retail,Fashion,Kid's Apparel,Boy's Clothing,Shorts,,,,,,,,,,,,,,,
Retail,Fashion,Kid's Apparel,Boy's Clothing,Jeans,,,,,,,,,,,,,,,
Retail,Fashion,Kid's Apparel,Boy's Clothing,Trousers,,,,,,,,,,,,,,,
Retail,Fashion,Kid's Apparel,Boy's Clothing,Clothing Sets,,,,,,,,,,,,,,,
Retail,Fashion,Kid's Apparel,Boy's Clothing,Ethnic Wear,,,,,,,,,,,,,,,
Retail,Fashion,Kid's Apparel,Boy's Clothing,Track Pants & Pyjamas,,,,,,,,,,,,,,,
Retail,Fashion,Kid's Apparel,Boy's Clothing,"Jacket, Sweater & Sweatshirts",,,,,,,,,,,,,,,
Retail,Fashion,Kid's Apparel,Boy's Clothing,Party Wear,,,,,,,,,,,,,,,
Retail,Fashion,Kid's Apparel,Boy's Clothing,Innerwear & Thermals,,,,,,,,,,,,,,,
Retail,Fashion,Kid's Apparel,Boy's Clothing,Nightwear & Loungewear,,,,,,,,,,,,,,,
Retail,Fashion,Kid's Apparel,Boy's Clothing,School Uniform,,,,,,,,,,,,,,,
Retail,Fashion,Kid's Apparel,Boy's Clothing,Rainwear,Women Raincoat Ponchos,Rainwear For Adults,Emergency Rain Coat,Raincoat With Hoods,Raincoat For Ladies,Double Coating Raincoat,Polyester Raincoat,Rainsuit,Rainwear For Kids,,,,,,
Retail,Fashion,Kid's Apparel,Boy's Clothing,Swimwear,Swimwear For Women,Swimwear For Men,Swimwear For Girls,Swimwear For Boys,Swimwear For Kids,Women Swimming Costume,One Piece Swimsuits,Swimsuit Swimwear,Swimming Costume Baby Girls,Swimming Short,,,,,
Retail,Fashion,Kid's Apparel,Boy's Clothing,Value Packs,Boy Clothes,Girls Clothes,Baby Clothes,Clothing Sets,Sets For Kids,Bundle Pack,,,,,,,,,
Retail,Fashion,Kid's Footwear,Boy's Footwear,Casual Shoes,,,,,,,,,,,,,,,
Retail,Fashion,Kid's Footwear,Boy's Footwear,Flip-Flops & Flats,,,,,,,,,,,,,,,
Retail,Fashion,Kid's Footwear,Boy's Footwear,Sandals & Floaters,,,,,,,,,,,,,,,
Retail,Fashion,Kid's Footwear,Boy's Footwear,Formal Shoes,,,,,,,,,,,,,,,
Retail,Fashion,Kid's Footwear,Boy's Footwear,Sports Shoes,Sports Shoes For Men,Sports Shoes For Women,Sports Shoes For Girls,Sports Shoes For Boys,Sports Shoes For Gym Workout Men,Running Shoes Men,Running Shoes,Gym Shoes,,,,,,,
Retail,Fashion,Kid's Footwear,Boy's Footwear,School Shoes,School Shoes For Boys,School Shoes Black,Black School Shoes For Boys,White School Shoes Girls,Uniform Dress Shoe,Unisex School Shoes,Kids School Shoes,,,,,,,,
Retail,Fashion,Kid's Footwear,Boy's Footwear,Ethnic Shoes,Party Wear Shoes,Back Open Jutis,Mojaris For Men,Jutis For Men,Sharwani Wedding Mojari,Ethnic Shoes,Casual Shoes For Boys,Shoes For Men,Shoes For Boys,Baby Shoes,,,,,
Retail,Fashion,Kid's Footwear,Boy's Footwear,Socks,Socks Women,Socks For Men,Sock Kids,Socks For Girls,Socks For Men Ankle Length,Socks Stand,Winter Socks For Women,Calf Length Socks,Winter Wear Socks,,,,,,
Retail,Fashion,Kid's Apparel,Girl's Clothing,Clothing Sets,Lightweight Sweater,Warm Clothes,Baby Boy Clothes,Unisex Winter Clothing Sets,Winter Clothing Set,Pajama Pant Clothing Set,Trouser Set,Baby Clothing Set,Socks For New Born Baby,Girls Regular Fit Clothing Set,Girls Solid Tracksuit Set,,,,
Retail,Fashion,Kid's Apparel,Girl's Clothing,Dresses,,,,,,,,,,,,,,,
Retail,Fashion,Kid's Apparel,Girl's Clothing,Dungarees & Jumpsuits,Dungaree For Kids Unisex,Jumpsuit For Kidspant,Jumpsuit Western Style Dress,Girl Clothing Jumpsuit,Boy Clothing Jumpsuit,Girls Regular Fit Dungaree,Boys Regular Fit Dungaree,Jumpsuit For Girls,Denim Dungaree For Kids,Toddler Jumpsuit,,,,,
Retail,Fashion,Kid's Apparel,Girl's Clothing,Ethnic Wear,,,,,,,,,,,,,,,
Retail,Fashion,Kid's Apparel,Girl's Clothing,Innerwear & Thermals,,,,,,,,,,,,,,,
Retail,Fashion,Kid's Apparel,Girl's Clothing,"Jacket, Sweater & Sweatshirts",,,,,,,,,,,,,,,
Retail,Fashion,Kid's Apparel,Girl's Clothing,"Jeans, Trousers & Capris",,,,,,,,,,,,,,,
Retail,Fashion,Kid's Apparel,Girl's Clothing,Kurta Sets,Kurta Pyjama,Kurta Set For Women,Kurta For Men,Kurta Plazo Set,Kurta For Kids,Kurta For Girls,Anarkali Kurta And Pant,Kurta Pant Dupatta Set,Kurta Sets For Men,Kurta Sets Cotton,,,,,
Retail,Fashion,Kid's Apparel,Girl's Clothing,Lehenga Choli,Lehenga Choli For Women,Lehenga Choli For Girls,Lehenga Choli For Girls Readymade,Lehenga Choli For Women Readymade,Lehenga Choli For Kids,Bridal Heavy Lehenga,Embroidered Lehenga Choli,Jacquard Lehenga Choli,Wedding Lehenga Choli,Wedding Lehenga Choli For Dulhan,,,,,
Retail,Fashion,Kid's Apparel,Girl's Clothing,Nightwear & Loungewear,Nightwear For Women,Nightwear For Men,Nightwear Pants For Women,Nightwear For Boys,Nightwear For Kids Boys,Nightwear For Baby Girl,Loungewear Men,Loungewear Set Winter,Loungewear Dress For Women,Loungewear Tshirt For Women,,,,,
Retail,Fashion,Kid's Apparel,Girl's Clothing,Party Wear,Party Wear Dress For Women,Party Wear Dress For Women Traditional,Party Wear Dress For Girls,Party Wear Saree,Party Wear Gown,Party Wear Shirts For Men,Party Wear Shoes For Men,Party Wear Dress For Girls,Party Wear Tops For Women,Party Wear Kurta Set For Women,,,,,
Retail,Fashion,Kid's Apparel,Girl's Clothing,Rainwear,Rainwear For Kids,Rainwear For Men,Rainwear For Women,Rainwear Jacket For Men,Rainwear Shoes For Women,Rainwear Sandals For Women,Rain Suit,Barsaati,Portable Rainwear For Adults,Emergency Rain Coat,,,,,
Retail,Fashion,Kid's Apparel,Girl's Clothing,School Uniform,,,,,,,,,,,,,,,
Retail,Fashion,Kid's Apparel,Girl's Clothing,Shirts,,,,,,,,,,,,,,,
Retail,Fashion,Kid's Apparel,Girl's Clothing,Shorts & Skirts,,,,,,,,,,,,,,,
Retail,Fashion,Kid's Apparel,Girl's Clothing,Sleepwear,,,,,,,,,,,,,,,
Retail,Fashion,Kid's Apparel,Girl's Clothing,Swimwear,,,,,,,,,,,,,,,
Retail,Fashion,Kid's Apparel,Girl's Clothing,Tights & Leggings,Tights Leggings For Women,Tights Leggings For Women Gym,Tights Leggings For Girls,Women'S Winter Warm Fleece Tights Leggings,Thermal Stretchy Leggings Pants,Winter Thick Warm Fleece,Gym Wear Mesh Leggings,Tights Leggings With Pockets Gym Wear,Stretch Fit Yoga Pants,,,,,,
Retail,Fashion,Kid's Apparel,Girl's Clothing,Tops,,,,,,,,,,,,,,,
Retail,Fashion,Kid's Apparel,Girl's Clothing,Tshirts,Tshirts For Women,Tshirts For Kids,Tshirts For Kids Boys,Tshirts For Gym,Tshirts For Men Full Sleeve,Tshirts For Men,Tshirts For Girls,Tshirts For Girls Cotton,Half Tshirts,Crop Tshirt,,,,,
Retail,Fashion,Kid's Apparel,Girl's Clothing,Value Packs,Boy Clothes,Girls Clothes,Baby Clothes,Clothing Sets,Sets For Kids,Bundle Pack,,,,,,,,,
Retail,Fashion,Kid's Footwear,Girl's Footwear,Casual Shoes,,,,,,,,,,,,,,,
Retail,Fashion,Kid's Footwear,Girl's Footwear,Flip-Flops & Flats,,,,,,,,,,,,,,,
