DOMAIN (L0),SUB DOMAIN (L1),CATEGORY (L2),SUBCATEGORY (L3),PRODUCT TYPE (L4),Suggestive Enums,2,3,4,5,6,7,8,9,10,11,12,13,14,15
Retail,Fashion,Men's Accessories,Fashion Accessories,Belts,,,,,,,,,,,,,,,
Retail,Fashion,Men's Accessories,Fashion Accessories,"Hats, Caps & Headwraps",,,,,,,,,,,,,,,
Retail,Fashion,Men's Accessories,Fashion Accessories,Cufflinks,,,,,,,,,,,,,,,
Retail,Fashion,Men's Accessories,Fashion Accessories,Gloves & Sleeves,,,,,,,,,,,,,,,
Retail,Fashion,Men's Accessories,Fashion Accessories,Headbands,,,,,,,,,,,,,,,
Retail,Fashion,Men's Accessories,Fashion Accessories,Wristbands,Wristbands For Mens,Wristbands For Mens Gym,Wristbands For Womens,Wristbands For Boys,Wrist Band For Men Gym,Wrist Band For Gym,Wrist Support Sports Straps For Gym,,,,,,,,
Retail,Fashion,Men's Accessories,Fashion Accessories,Watches,,,,,,,,,,,,,,,
Retail,Fashion,Men's Accessories,Fashion Accessories,Watch Bands,Watch Bands For Women,Watch Bands For Men,Watch Bands For Girls,Watch Bands For Boys,Watch Bands For Kids,Watch Bands Silicon,Silicone Watch Bands,Soft Silicone Smartwatch Band,Watch Band Strap,,,,,,
Retail,Fashion,Men's Accessories,Fashion Accessories,Watch Organizers,Watch Organizers Box,Women Watch Box Holder Organizer Case,Men Watch Box Holder Organizer Case,Watch Box Case Organizer,Designer Watch Organizers,Watch Storage Box Organizer,Watch Storage Box,Watch Collection Box For Men,,,,,,,
Retail,Fashion,Men's Accessories,Fashion Accessories,Mufflers,,,,,,,,,,,,,,,
Retail,Fashion,Men's Accessories,Fashion Accessories,Pocket Squares,Pocket Squares For Men,Set With Pocket Square,Men'S Pocket Square,Satin Pocket Squares,Satin Premium Pocket Square,Black Pocket Squares For Men,Pocket Square For Women,Pocket Square For Girls,,,,,,,
Retail,Fashion,Men's Accessories,Fashion Accessories,Rakhi,,,,,,,,,,,,,,,
