DOMAIN (L0),SUB DOMAIN (L1),CATEGORY (L2),SUBCATEGORY (L3),PRODUCT TYPE (L4),Suggestive Enums,2,3,4,5,6,7,8,9,10,11,12,13,14,15
Retail,Fashion,Women's Accessories,Fashion Accessories,Belts,,,,,,,,,,,,,,,
Retail,Fashion,Women's Accessories,Fashion Accessories,"Hats, Caps & Headwraps",,,,,,,,,,,,,,,
Retail,Fashion,Women's Accessories,Fashion Accessories,Cufflinks,Cufflinks Women,Cufflinks For Women Shirts,Enamel Cufflinks,Black Cufflinks,Musical Man Cufflinks,Stainless Steel Cuff Links,Cufflinks Classic Black,Cufflinks For Men,Cufflinks Men,,,,,,
Retail,Fashion,Women's Accessories,Fashion Accessories,Gloves & Sleeves,Gloves Sleeves For Women,Full Sleeves Gloves Women,Half Sleeves Gloves,Half Sleeves Gloves For Kids,Top With Gloves Sleeves,Half Sleeves Gloves For Boys,Half Sleeves Gloves For Men,Cufflinks For Men,Cufflinks Men,,,,,,
Retail,Fashion,Women's Accessories,Fashion Accessories,Headbands,Headbands For Women,Headbands For Men,Headbands For Girls,Headbands For Winter Men,Mens Warm Winter Headbands,Premium Head Band,Head Band Gym,Head Band Runnig,Head Band Badminton,,,,,,
Retail,Fashion,Women's Accessories,Fashion Accessories,Wristbands,Wristbands For Mens,Wristbands For Mens Gym,Wristbands For Womens,Wristbands For Boys,Wrist Band For Men Gym,Wrist Band For Gym,Wrist Support Sports Straps For Gym,,,,,,,,
Retail,Fashion,Women's Accessories,Fashion Accessories,Watches,,,,,,,,,,,,,,,
Retail,Fashion,Women's Accessories,Fashion Accessories,Watch Bands,,,,,,,,,,,,,,,
Retail,Fashion,Women's Accessories,Fashion Accessories,Watch Organizers,,,,,,,,,,,,,,,
Retail,Fashion,Women's Accessories,Fashion Accessories,Mufflers,Mufflers For Women,Mufflers For Girls,Mufflers For Kids,Mufflers For Men Winter,Mufflers For Girls Wool,Mufflers For Women Wool,Mufflers For Winter,Mufflers For Boys,,,,,,,
Retail,Fashion,Women's Accessories,Fashion Accessories,Pocket Squares,Pocket Squares For Men,Set With Pocket Square,Men'S Pocket Square,Satin Pocket Squares,Satin Premium Pocket Square,Black Pocket Squares For Men,Pocket Square For Women,Pocket Square For Girls,,,,,,,
Retail,Fashion,Women's Accessories,Fashion Accessories,Rakhi,Rakhi For Brother,Rakhi For Brother And Bhabhi,Rakhi For Bhabhi,Bhaiya Bhabhi Rakhi,Rakhi Gift,Rakhi Gift For Sister,Rakhi Gift For Little Sister,Gift For Rakhi For Sister,,,,,,,
Retail,Fashion,Women's Accessories,Fashion Accessories,Umbrellas,,,,,,,,,,,,,,,
Retail,Fashion,Women's Accessories,Fashion Accessories,Stoles & Scarves,,,,,,,,,,,,,,,
Retail,Fashion,Women's Accessories,Fashion Accessories,Suspenders,Suspenders For Men,Suspenders For Boys,Suspenders For Women,Suspenders For Girls,Skirt With Suspenders For Girls,Strap Width Elastic Suspenders,Style Suspenders,Suspenders For Kids,Suspenders For Baby Girl,Suspenders For Baby Boy,,,,,
Retail,Fashion,Women's Accessories,Fashion Accessories,Neckties & Pocket Squares,Neckties Pocket Squares For Girls,Neckties For Men Formal,Tie For Men Neckties,Ties Neckties,Men'S Necktie,Pocket Square And Cufflink,Self Silk Necktie,Pocket Square Men,Necktie Gift Set With Pocket Square,Cufflinks And Lapel Pin,,,,,
Retail,Fashion,Women's Accessories,Fashion Accessories,Wallets & Clutches,,,,,,,,,,,,,,,
Retail,Fashion,Women's Accessories,Fashion Accessories,Helmets,Helmets For Women,Helmets For Women Full Face,Helmets Half Face,Helmets For Men,Helmets For Women,Helmet For Adults Men,Helmet For Adults Women,Open Face Helmet,Open Face Helmet For Men,Open Face Helmet For Women,Stylish Helmet For Girls,,,,
Retail,Fashion,Women's Accessories,Fashion Accessories,Masks,Masks For Men,Masks For Women,Masks For Girls,Masks For Boys,Masks For Adults,Masks For Face,Masks For Skin,Disposable Surgical Face Mask,Face Mask With Nose Clip,,,,,,
Retail,Fashion,Women's Accessories,Fashion Accessories,Handkerchiefs,,,,,,,,,,,,,,,
Retail,Fashion,Women's Accessories,Footwear Accessories,Socks & Stockings,,,,,,,,,,,,,,,
Retail,Fashion,Women's Accessories,Footwear Accessories,Laces,,,,,,,,,,,,,,,
Retail,Fashion,Women's Accessories,Footwear Accessories,Soles & Charms,,,,,,,,,,,,,,,
Retail,Fashion,Women's Accessories,Footwear Accessories,Shoe Racks & Organisers,,,,,,,,,,,,,,,
Retail,Fashion,Women's Accessories,Footwear Accessories,Shoe Care - Brush,Shoe Care Brush,Shoe Shine Brush,Shoe Brush For Cleaning,Shining And Buffing Boots,Soft Bristle Brush,Shoe Cleaning Solution,Sneakers Brush,Sneakers Cleaning Brush,Soft Brush For Sneakers,,,,,,
Retail,Fashion,Women's Accessories,Footwear Accessories,Shoe Care - Polish,,,,,,,,,,,,,,,
Retail,Fashion,Women's Accessories,Footwear Accessories,Shoe Care - Others,Shoe Care Kit,Shoe Care Box,Shoe Care Bag,Sneaker Cleaner,Soft Bristles Brush,Shoehorn Stick,,,,,,,,,
Retail,Fashion,Women's Apparel,Indian & Fusion Wear,"Kurtas, Kurta Sets & Suits",,,,,,,,,,,,,,,
Retail,Fashion,Women's Apparel,Indian & Fusion Wear,"Kurtis, Tunics & Tops",,,,,,,,,,,,,,,
Retail,Fashion,Women's Apparel,Indian & Fusion Wear,Sarees,,,,,,,,,,,,,,,
Retail,Fashion,Women's Apparel,Indian & Fusion Wear,Ethnic Wear,Ethnic Wear For Women,Ethnic Wear For Girls,Ethnic Wear For Kids Girls,Ethnic Wear For Women Party Wear,Salwar Suit,Flared Kurta For Women,Embroidery Ethnic Wear Kurta For Women,Ethnic Wear Saree,Ethnic Wear Suit,,,,,,
Retail,Fashion,Women's Apparel,Indian & Fusion Wear,"Leggings, Salwars & Churidars",,,,,,,,,,,,,,,
Retail,Fashion,Women's Apparel,Indian & Fusion Wear,Skirts & Palazzos,Skirt Palazzo For Women,Skirt Palazzo For Women Stylish,Skirt Palazzo For Women Maxi,Skirt Palazzo For Girls,Flared Skirt Palazzo For Girls,Skirt For Girls,Skirt For Girls Knee Length,Palazzo For Women,Palazzo For Girls,,,,,,
Retail,Fashion,Women's Apparel,Indian & Fusion Wear,Dress Materials,,,,,,,,,,,,,,,
Retail,Fashion,Women's Apparel,Indian & Fusion Wear,Lehenga Cholis,,,,,,,,,,,,,,,
Retail,Fashion,Women's Apparel,Indian & Fusion Wear,Dupattas & Shawls,,,,,,,,,,,,,,,
Retail,Fashion,Women's Apparel,Indian & Fusion Wear,Jackets,,,,,,,,,,,,,,,
Retail,Fashion,Women's Apparel,Indian & Fusion Wear,Burqas & Hijabs,,,,,,,,,,,,,,,
Retail,Fashion,Women's Apparel,Indian & Fusion Wear,Blouses,Blouses Readymade,Blouses Silk,Sleeveless Saree Blouse,Unstitched Blouse,Embroidered Sleeves Blouse,Stretchable Elbow Sleeve Blouse,Embroidery Half Sleeve Saree Blouse,Half Sleeve Stitched Blouse,Mirror Sleeveless Readymade Blouse,Chikankari Saree Blouse,,,,,
Retail,Fashion,Women's Apparel,Indian & Fusion Wear,Blouse Pieces,Blouse Pieces 1 Meter,Blouse Pieces New,Blouse Pieces For Women,Blouse Pieces For Women Silk,Blouse Pieces For Women Unstitched,Silk-Cotton Blouse Piece,Unstiched Blouse Piece,Art Silk Sleeve Unstitched Blouse Piece,,,,,,,
Retail,Fashion,Women's Apparel,Western Wear,Dresses,,,,,,,,,,,,,,,
Retail,Fashion,Women's Apparel,Western Wear,Tops,,,,,,,,,,,,,,,
Retail,Fashion,Women's Apparel,Western Wear,Tshirts,,,,,,,,,,,,,,,
Retail,Fashion,Women's Apparel,Western Wear,Jeans,,,,,,,,,,,,,,,
Retail,Fashion,Women's Apparel,Western Wear,Trousers & Capris,,,,,,,,,,,,,,,
