L3	L4	product_name	L2
Topwear	T Shirts	Men Blue Colourblocked Contrast Polo Collar T-shirt with Brand Logo Detail	Men's Apparel
Topwear	Shirts	Men Grey & Black Slim Fit Checked Casual Shirt	Men's Apparel
Topwear	Shirts	Men Green Comfort Regular Fit Printed Casual Shirt	Men's Apparel
Topwear	Shirts	U S Polo Assn Denim Co Men Rust Pure Cotton Checked Casual Shirt	Men's Apparel
Topwear	Shirts	Men Blue Slim Fit Windowpane Checks Checked Cotton Casual Shirt	Men's Apparel
Topwear	Shirts	Vertical Striped Casual Cotton Shirt	Men's Apparel
Topwear	T Shirts	Men Red & White individualRISE Logo Printed Slim Fit Football Sustainable T-shirt	Men's Apparel
Topwear	Shirts	Men Slim Fit Casual Pure Cotton Shirt	Men's Apparel
Topwear	T Shirts	Men Fluorescent Green Virat Kohli Ms Active I Brand Logo Printed T-shirt	Men's Apparel
Topwear	T Shirts	HRX By Hrithik Roshan Lifestyle Men Oxy Fire Bio-Wash Brand carrier Tshirts	Men's Apparel
Topwear	Shirts	Men Pure Cotton Chiseled Slim Fit Printed Casual Shirt	Men's Apparel
Topwear	T Shirts	Men Yellow Printed Slim Fit Cotton T-shirt	Men's Apparel
Topwear	T Shirts	Men Black Solid Hooded Active Fit T-shirt	Men's Apparel
Topwear	T Shirts	Men Pink Round Neck Pure Cotton T-shirt	Men's Apparel
Topwear	T Shirts	Men Black & Yellow Brand Logo Printed Man City Football Pure Cotton T-shirt	Men's Apparel
Topwear	T Shirts	Men Mustard Yellow & Navy Blue Striped Polo Collar T-shirt	Men's Apparel
Topwear	Shirts	U.S. Polo Assn. Denim Co.Men White Tartan Checks Checked Casual Shirt	Men's Apparel
Topwear	T Shirts	Men Navy Blue & Gold-Toned Brand Logo Embroidered Polo Collar T-shirt	Men's Apparel
Topwear	Shirts	Men Yellow Printed Cotton Slim Fit Casual Shirt	Men's Apparel
Topwear	Shirts	Men Checked Casual Cotton Shirt	Men's Apparel
Topwear	Kurtas & Kurta Sets	Men Navy Blue & White Printed Kurta with Trousers	Men's Apparel
Topwear	Shirts	Slim Fit Striped Cotton Casual Shirt	Men's Apparel
Topwear	Shirts	Men Teal Blue & White Regular Fit Printed Casual Sustainable Shirt	Men's Apparel
Topwear	Kurtas & Kurta Sets	Men Peach-Coloured Chikankari Embroidered Pure Cotton Kurta with Pyjamas	Men's Apparel
Topwear	T Shirts	Men Plus Size Red Polo Collar Solid Side Tape Detail T-shirt	Men's Apparel
Topwear	Kurtas & Kurta Sets	Men Navy Blue Striped Kurta with Pyjamas	Men's Apparel
Topwear	T Shirts	Men Navy Blue & Beige Striped Self Design Pure Cotton Slim Fit T-shirt	Men's Apparel
Topwear	T Shirts	Men Black Solid Round Neck T-shirt	Men's Apparel
Topwear	Shirts	Men Off-White Slim Fit Checked Casual Shirt	Men's Apparel
Topwear	T Shirts	Men Maroon Solid Cotton Drop-Shoulder Loose Fit Oversized T-shirt	Men's Apparel
Topwear	Kurtas & Kurta Sets	Men Cream-Coloured Solid Dhotis With Angavastram	Men's Apparel
Topwear	Shirts	Men Sea Green Solid Casual Shirt	Men's Apparel
Topwear	Shirts	Men Blue Tailored Fit Pure Cotton Casual Shirt	Men's Apparel
Topwear	T Shirts	Louis Philippe Ath .Work Men Black Brand Logo Stripe Detail Slim Fit Casual T-shirt	Men's Apparel
Topwear	Shirts	Men Black & White Regular Fit Printed Casual Shirt	Men's Apparel
Topwear	Shirts	Charcoal Grey Slim Fit Checked Sustainable Casual Shirt	Men's Apparel
Topwear	Shirts	The Lifestyle Co Men Mauve Geometric Printed Pure Cotton Casual Shirt	Men's Apparel
Topwear	T Shirts	Men Sea Green Graphic Printed Pure Cotton T-shirt	Men's Apparel
Topwear	T Shirts	Men Beige Printed Polo Collar Pure Cotton T-shirt	Men's Apparel
Topwear	Shirts	Men White & Black Regular Fit Checked Smart Casual Sustainable Shirt	Men's Apparel
Topwear	Shirts	Men Navy Blue Cotton Slim Fit Ditsy Printed Casual Shirt	Men's Apparel
Topwear	T Shirts	Men Navy Blue Pure Cotton Slim Fit T-shirt	Men's Apparel
Topwear	Kurtas & Kurta Sets	Men Teal Blue Solid Kurta	Men's Apparel
Topwear	Shirts	Men Teal Blue Cotton Sustainable Casual Shirt	Men's Apparel
Topwear	T Shirts	Men Coffee Brown Solid Cotton Polo Collar T-shirt	Men's Apparel
Topwear	Shirts	Men Green Slim Fit Tartan Checked Casual Shirt	Men's Apparel
Topwear	Kurtas & Kurta Sets	Men Navy Blue Ethnic Motifs Printed Kurta with Pyjamas	Men's Apparel
Topwear	Shirts	Men Blue Casual Shirt	Men's Apparel
Topwear	Kurtas & Kurta Sets	Men Maroon & White Ethnic Motifs Printed Kurta	Men's Apparel
Topwear	Shirts	Men Teal Blue & White Slim Fit Striped Casual Shirt	Men's Apparel
Topwear	Shirts	Men White & Blue Regular Fit Printed Casual Shirt	Men's Apparel
Topwear	Shirts	Men Blue Solid Slim Fit Pure Cotton Casual Shirt	Men's Apparel
Topwear	Shirts	Men Black Solid Casual Shirt	Men's Apparel
Topwear	T Shirts	HRX By Hrithik Roshan Running Men White & French Blue Rapid-Dry Pack of 2 Solid T-shirts	Men's Apparel
Topwear	T Shirts	Navy Printed T-shirt	Men's Apparel
Topwear	Kurtas & Kurta Sets	Men Maroon Ethnic Motifs Printed Kurta with Dhoti Pants	Men's Apparel
Topwear	Kurtas & Kurta Sets	Striped Mandarin Collar Thread Work Kurta	Men's Apparel
Topwear	Kurtas & Kurta Sets	Men Black Thread Work Kurta	Men's Apparel
Topwear	T Shirts	Men Navy Blue & White Striped Polo Collar T-shirt	Men's Apparel
Topwear	Shirts	Men Yellow Slim Fit Solid Casual Shirt	Men's Apparel
Topwear	T Shirts	Men Cotton Printed T-shirt	Men's Apparel
Topwear	Kurtas & Kurta Sets	Men Maroon Grandeur & Majestic Artwork Handloom Kurta	Men's Apparel
Topwear	Kurtas & Kurta Sets	Men Brown Solid Pure Cotton Kurta	Men's Apparel
Topwear	Shirts	Men Olive Green Slim Fit Opaque Printed Pure Cotton Casual Shirt	Men's Apparel
Topwear	Shirts	Men Yellow Slim Fit Printed Casual Shirt	Men's Apparel
